t,i,j,k,v,q
2019,400,276,711319,44.764,0.005
2019,400,634,300490,12982.572,324.611
2019,400,634,330210,22.573,1.236
2019,400,682,280920,19988.993,30495.1
2019,400,682,300490,99418.014,1464.55
2019,400,682,330210,1286.186,1155.12
2019,400,682,711319,2886.082,0.053
2019,400,784,280920,1609.793,54.65
2019,400,784,300490,36638.603,605.575
2019,400,784,330210,54.276,3.608
2019,400,784,711319,1918.339,0.086
2019,400,818,280920,8859.834,14141.2
2019,400,818,300490,6730.359,220.512
2019,422,276,300490,99.142,0.061
2019,422,276,330210,2.032,1.643
2019,422,276,711319,1227.206,0.021
2019,422,400,300490,4007.567,91.695
2019,422,400,330210,2.392,0.278
2019,422,400,711319,9115.959,0.245
2019,422,634,300490,1070.997,20.892
2019,422,634,711319,979.071,0.015
2019,422,682,300490,10121.15,27.839
2019,422,682,330210,0.174,0.002
2019,422,682,711319,5144.853,0.08
2019,422,784,300490,14177.38,98.346
2019,422,784,330210,10.864,2.619
2019,422,784,711319,162839.038,5.238
2019,422,818,300490,49.55,0.297
2019,422,818,330210,7.825,0.2
2019,422,818,711319,20.086,0.001
2019,682,276,300490,4.466,0.009
2019,682,276,711319,0.656,
2019,682,400,300490,15395.209,1858.45
2019,682,784,300490,37782.029,3173.02
2019,682,784,330210,1.626,0.1
2019,682,784,711319,214959.463,5.854
2019,784,276,300490,28.593,0.719
2019,784,276,330210,444.933,4.179
2019,784,276,711319,10377.21,0.311
2019,784,400,300490,3850.423,114.77
2019,784,400,330210,163.565,92.152
2019,784,400,711319,85561.027,2.898
2019,784,682,280920,33.519,17.391
2019,784,682,300490,14360.765,303.213
2019,784,682,330210,16392.592,348.048
2019,784,682,711319,328292.669,9.007
2019,784,818,280920,85.224,36.036
2019,784,818,300490,20749.83,237.532
2019,784,818,330210,2582.122,32.121
2019,784,818,711319,23505.732,0.8
2019,792,276,280920,0.299,0.034
2019,792,276,300490,36390.052,929.205
2019,792,276,330210,2524.818,187.613
2019,792,276,711319,395499.25,10.445
2019,792,400,280920,1.045,0.315
2019,792,400,300490,3769.027,2173.371
2019,792,400,330210,2540.781,207.453
2019,792,400,711319,51708.492,1.169
2019,792,634,300490,5967.35,193.626
2019,792,634,330210,27.803,6.494
2019,792,634,711319,105887.025,2.89
2019,792,682,280920,0.562,0.1
2019,792,682,300490,6208.337,147.929
2019,792,682,330210,2546.169,438.23
2019,792,682,711319,58068.061,1.651
2019,792,784,280920,4.099,3.395
2019,792,784,300490,10225.168,976.91
2019,792,784,330210,3292.29,281.721
2019,792,784,711319,1032803.983,27.562
2019,792,818,280920,3.545,2.415
2019,792,818,300490,4004.042,90.443
2019,792,818,330210,2019.97,185.069
2019,792,818,711319,7029.71,0.202
2019,818,276,300490,1166.746,741.071
2019,818,276,330210,50.928,10.524
2019,818,276,711319,3.748,
2019,818,400,300490,5005.677,293.777
2019,818,400,330210,5404.577,319.455
2019,818,400,711319,38.416,0.004
2019,818,784,300490,5004.453,1179.601
2019,818,784,310311,185.878,807.46
2019,818,784,330210,1195.228,444.179
2019,818,784,711319,2566.816,0.096
2020,300,276,300490,257769.055,7049.78
2020,300,276,330210,17.735,1.198
2020,300,276,711319,330.519,0.043
2020,300,400,300490,6550.796,508.864
2020,300,400,330210,5.96,0.397
2020,300,400,711319,18.983,0.002
2020,300,634,300490,672.72,8.548
2020,300,634,711319,155.212,0.003
2020,300,682,300490,5437.964,165.104
2020,300,682,330210,284.455,7.85
2020,300,682,711319,153.73,0.01
2020,300,784,300490,9915.661,262.539
2020,300,784,711319,105.512,0.024
2020,300,818,300490,384.31,38.675
2020,300,818,330210,103.451,6.0
2020,380,276,280920,910.074,380.263
2020,380,276,300490,1934814.116,25425.797
2020,380,276,330210,10041.091,1291.276
2020,380,276,711319,134762.034,5.298
2020,380,400,300490,16075.807,302.035
2020,380,400,330210,67.186,2.907
2020,380,400,711319,15639.817,0.361
2020,380,634,280920,3.111,0.456
2020,380,634,300490,19580.178,285.199
2020,380,634,711319,30704.599,2.84
2020,380,682,300490,15466.84,2493.219
2020,380,682,330210,505.216,32.481
2020,380,682,711319,8750.316,0.142
2020,380,784,280920,6.595,5.54
2020,380,784,300490,153477.756,3063.74
