t,i,j,k,v,q
2023,784,818,300490,7779.989,326.417
2023,784,818,330210,2525.649,128.114
2023,784,818,711319,6468.62,4.282
2023,792,276,280920,1724.11,1092.359
2023,792,276,300490,68300.774,1040.492
2023,792,276,330210,662.558,41.205
2023,792,276,711319,104664.766,1.899
2023,792,400,300490,3695.783,1163.29
2023,792,400,330210,3223.779,268.232
2023,792,400,711319,35304.296,0.873
2023,792,634,280920,0.15,0.05
2023,792,634,300490,5739.679,213.122
2023,792,634,330210,67.88,5.119
2023,792,634,711319,30227.434,0.677
2023,792,682,280920,0.272,0.084
2023,792,682,300490,1661.059,54.323
2023,792,682,330210,2547.522,134.753
2023,792,682,711319,55211.833,1.11
2023,792,784,280920,22.882,40.26
2023,792,784,300490,15694.321,1044.395
2023,792,784,330210,2850.567,274.3
2023,792,784,711319,2250889.576,42.427
2023,792,818,280920,738.594,499.742
2023,792,818,300490,12156.71,225.323
2023,792,818,330210,3202.179,203.651
2023,792,818,711319,111354.829,2.356
2023,818,276,300490,184.569,124.405
2023,818,276,330210,94.188,3.821
2023,818,276,711319,10.437,0.001
2023,818,400,300490,5572.109,
2023,818,400,310311,202.645,489.329
2023,818,400,330210,3365.302,85.788
2023,818,400,711319,341.322,
2023,818,634,300490,23.294,
2023,818,634,330210,2.08,0.121
2023,818,634,711319,15.727,
2023,818,682,280920,18.558,14.061
2023,818,682,300490,41976.381,
2023,818,682,330210,27778.861,691.905
2023,818,682,711319,2714.268,0.046
2023,818,784,300490,9222.83,779.08
2023,818,784,310311,124.794,280.798
2023,818,784,330210,8177.648,232.858
2023,818,784,711319,6482.879,0.091
2024,300,276,300490,234834.762,10753.052
2024,300,276,330210,79.991,0.815
2024,300,276,711319,656.613,0.353
2024,300,400,300490,11783.089,1586.252
2024,300,400,330210,28.857,2.385
2024,300,400,711319,50.43,0.005
2024,300,634,300490,2837.529,22.934
2024,300,634,711319,273.371,0.006
2024,300,682,300490,9327.493,158.248
2024,300,682,330210,54.241,11.967
2024,300,682,711319,40.995,0.019
2024,300,784,300490,11278.824,1261.337
2024,300,784,711319,2191.895,0.035
2024,300,818,300490,1245.035,25.643
2024,300,818,330210,312.272,19.516
2024,300,818,711319,4.236,0.001
2024,380,276,280920,1082.128,298.5
2024,380,276,300490,1668564.182,34857.813
2024,380,276,330210,10965.283,996.919
2024,380,276,711319,162266.939,5.342
2024,380,400,300490,16518.347,1139.15
2024,380,400,330210,150.502,5.685
2024,380,400,711319,66306.989,1.399
2024,380,634,280920,6.556,0.862
2024,380,634,300490,24571.892,449.529
2024,380,634,330210,10.344,0.072
2024,380,634,711319,51970.927,0.834
2024,380,682,280920,16.821,4.804
2024,380,682,300490,85564.098,3126.409
2024,380,682,330210,1315.106,70.575
2024,380,682,711319,64819.312,2.036
2024,380,784,300490,49713.153,2395.78
2024,380,784,330210,1553.021,74.473
2024,380,784,711319,1235478.264,25.963
2024,380,818,280920,5.645,0.602
2024,380,818,300490,157427.158,2033.67
2024,380,818,330210,479.344,40.263
2024,380,818,711319,15117.002,0.26
2024,400,276,300490,275.783,7.189
2024,400,276,330210,5.164,0.742
2024,400,276,711319,56.706,0.013
2024,400,634,280920,82.557,94.95
2024,400,634,300490,28303.654,579.594
2024,400,634,330210,11.03,2.04
2024,400,682,280920,5407.66,9768.6
2024,400,682,300490,143515.472,1531.08
2024,400,682,330210,137.033,7.492
2024,400,682,711319,4220.122,0.07
2024,400,818,280920,6858.364,6303.081
2024,400,818,300490,28630.744,
2024,400,818,330210,0.041,0.002
2024,422,276,300490,0.654,0.006
2024,422,276,330210,3.279,0.152
2024,422,276,711319,71.772,0.002
2024,422,400,300490,5600.988,
2024,422,400,330210,0.263,0.015
2024,422,400,711319,4917.018,0.101
2024,422,634,300490,1483.896,24.008
2024,422,634,330210,16.881,18.378
2024,422,634,711319,882.287,0.111
2024,422,784,300490,15116.186,
2024,422,784,330210,324.268,18.599
2024,422,784,711319,57109.48,1.171
2024,422,818,711319,21.004,
2024,682,276,300490,21.382,0.219
2024,682,276,330210,0.008,
2024,682,276,711319,7.516,
2024,682,400,300490,26558.948,4552.761
2024,682,400,711319,174.279,0.009
2024,682,634,300490,37.998,15.833
2024,682,634,330210,4.904,0.226
2024,682,634,711319,2849.894,0.133
2024,682,784,300490,167227.654,4189.744
2024,682,784,330210,718.203,50.792
2024,682,784,711319,445110.56,13.603
2024,682,818,300490,5196.666,199.476
2024,682,818,330210,1.022,0.028
2024,682,818,711319,619.959,0.003
2024,784,276,300490,7.066,0.109
2024,784,276,330210,591.902,5.91
2024,784,276,711319,16723.784,0.49
2024,784,634,280920,287.693,70.4
2024,784,634,330210,54.274,6.758
2024,784,634,711319,20059.01,0.542
2024,784,682,280920,0.424,0.188
2024,784,682,300490,56069.339,895.912
2024,784,682,330210,14061.868,313.246
2024,784,682,711319,435101.214,8.532
2024,784,818,280920,40.453,37.177
2024,784,818,300490,5155.49,
2024,784,818,330210,2508.092,120.108
2024,792,276,280920,80.588,70.34
2024,792,276,300490,50032.868,3469.693
2024,792,276,330210,586.538,334.7
2024,792,276,711319,121600.12,1.716
2024,792,400,280920,29.359,23.8
2024,792,400,300490,3588.901,694.333
2024,792,400,330210,4054.608,423.811
2024,792,400,711319,47161.63,1.006
2024,792,634,300490,5735.444,199.467
2024,792,634,330210,233.124,10.643
2024,792,634,711319,12941.393,1.247
2024,792,682,300490,2462.933,107.778
2024,792,682,330210,3487.334,463.307
2024,792,682,711319,64675.496,1.789
2024,792,784,280920,14.893,5.208
2024,792,784,300490,7847.842,2284.443
2024,792,784,330210,5021.321,511.699
2024,792,784,711319,2938036.114,46.64
2024,792,818,280920,685.163,571.513
2024,792,818,300490,10707.286,223.846
2024,792,818,330210,4658.952,315.101
2024,792,818,711319,123856.899,2.144
2024,818,276,300490,119.557,99.626
2024,818,276,330210,720.233,57.598
2024,818,276,711319,32.368,0.001
2024,818,400,300490,8326.406,
2024,818,400,310311,89.0,179.322
2024,818,400,330210,10062.676,569.131
2024,818,400,711319,2885.521,0.052
2024,818,634,300490,183.912,26.536
2024,818,634,330210,492.443,27.852
2024,818,634,711319,6.775,
2024,818,682,300490,62348.351,2585.795
2024,818,682,330210,22407.836,896.347
2024,818,682,711319,1266.59,0.028
2024,818,784,300490,6984.717,
2024,818,784,310311,90.419,182.181
2024,818,784,330210,24721.232,1398.198
2024,818,784,711319,2705.03,0.049
